date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:33	318971/318971	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Dec%202025%2010:22:33%20GMT	https://www.ewedinvite.site/MAUHOADOBE	C:/Users/DELL/Desktop/Lap_Trinh/thiep-cuoi/base/thiep-9_1/thiep-9/www.ewedinvite.site/MAUHOADOBE.html	(from )
17:22:33	169/169	---M-Z	200	added ('OK')	text/plain	etag:%221C4BC7D%22	https://www.ewedinvite.site/robots.txt		(from )
17:22:33	49071/49071	---M--	200	added ('OK')	image/jpeg	etag:jpeg.jpg	https://content.pancake.vn/1/s1200x650/d4/9e/5f/07/03b4978afe1b5f06cb5bfce627252451ad6c68cea27bccca5ae0f500-w:900-h:1125-l:166937-t:image/jpeg.jpg	C:/Users/DELL/Desktop/Lap_Trinh/thiep-cuoi/base/thiep-9_1/thiep-9/content.pancake.vn/1/s1200x650/d4/9e/5f/07/03b4978afe1b5f06cb5bfce627252451ad6c68cea27bccca5ae0f500-w_900-h_1125-l_166937-t_image/jpeg.jpg	(from https://www.ewedinvite.site/MAUHOADOBE)
17:22:34	2986/2986	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/fwebp/48/53/5d/e8/8360ef0daf228b537db79566ac2bfb8ff7d126e363d698bcaaf55ad8-w:100-h:100-l:4812-t:image/png.png	C:/Users/DELL/Desktop/Lap_Trinh/thiep-cuoi/base/thiep-9_1/thiep-9/content.pancake.vn/1/fwebp/48/53/5d/e8/8360ef0daf228b537db79566ac2bfb8ff7d126e363d698bcaaf55ad8-w_100-h_100-l_4812-t_image/png.png	(from https://www.ewedinvite.site/MAUHOADOBE)
17:22:34	4504/4504	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s840x1600/fwebp/5a/52/74/74/574a7c4763d40620ff28f78743b60b877bb2496e5c1cd8d94ca90f99-w:1313-h:2500-l:21034-t:image/png.png	C:/Users/DELL/Desktop/Lap_Trinh/thiep-cuoi/base/thiep-9_1/thiep-9/content.pancake.vn/1/s840x1600/fwebp/5a/52/74/74/574a7c4763d40620ff28f78743b60b877bb2496e5c1cd8d94ca90f99-w_1313-h_2500-l_21034-t_image/png.png	(from https://www.ewedinvite.site/MAUHOADOBE)
17:22:34	28330/28330	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s779x1484/fwebp/ee/49/eb/78/c2886b85824c3e2477db01661f5e882a0e590dd1fd5b9f19358cf5bd-w:1313-h:2500-l:310467-t:image/png.png	C:/Users/DELL/Desktop/Lap_Trinh/thiep-cuoi/base/thiep-9_1/thiep-9/content.pancake.vn/1/s779x1484/fwebp/ee/49/eb/78/c2886b85824c3e2477db01661f5e882a0e590dd1fd5b9f19358cf5bd-w_1313-h_2500-l_310467-t_image/png.png	(from https://www.ewedinvite.site/MAUHOADOBE)
17:22:34	6342/6342	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s606x1154/fwebp/f6/25/88/96/f03dbda97441373861bcee3d14c7afe0eed91ac32fcba37977ce2496-w:1313-h:2500-l:1540903-t:image/png.png	C:/Users/DELL/Desktop/Lap_Trinh/thiep-cuoi/base/thiep-9_1/thiep-9/content.pancake.vn/1/s606x1154/fwebp/f6/25/88/96/f03dbda97441373861bcee3d14c7afe0eed91ac32fcba37977ce2496-w_1313-h_2500-l_1540903-t_image/png.png	(from https://www.ewedinvite.site/MAUHOADOBE)
17:22:34	8360/8360	---M--	200	added ('OK')	image/webp	etag:jpeg.jpg	https://content.pancake.vn/1/s547x684/fwebp/52/0d/ec/6d/db8ac57e9b4a3fe2e75dd50e03bd3fd47ee9eb8fbcec154c915f1e8f-w:900-h:1125-l:69303-t:image/jpeg.jpg	C:/Users/DELL/Desktop/Lap_Trinh/thiep-cuoi/base/thiep-9_1/thiep-9/content.pancake.vn/1/s547x684/fwebp/52/0d/ec/6d/db8ac57e9b4a3fe2e75dd50e03bd3fd47ee9eb8fbcec154c915f1e8f-w_900-h_1125-l_69303-t_image/jpeg.jpg	(from https://www.ewedinvite.site/MAUHOADOBE)
17:22:35	8276/8276	---M--	200	added ('OK')	image/webp	etag:jpeg.jpg	https://content.pancake.vn/1/s529x662/fwebp/95/34/67/1d/40b086401caa229c0d23117ed0d54ecf20f6cb6016e3f7bfd5817c77-w:900-h:1125-l:68040-t:image/jpeg.jpg	C:/Users/DELL/Desktop/Lap_Trinh/thiep-cuoi/base/thiep-9_1/thiep-9/content.pancake.vn/1/s529x662/fwebp/95/34/67/1d/40b086401caa229c0d23117ed0d54ecf20f6cb6016e3f7bfd5817c77-w_900-h_1125-l_68040-t_image/jpeg.jpg	(from https://www.ewedinvite.site/MAUHOADOBE)
17:22:35	23260/23260	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s779x1484/fwebp/55/e4/fe/df/0597a255236826aa38abefdafdc73adeed017242ebf759c9a4f08845-w:1313-h:2500-l:241440-t:image/png.png	C:/Users/DELL/Desktop/Lap_Trinh/thiep-cuoi/base/thiep-9_1/thiep-9/content.pancake.vn/1/s779x1484/fwebp/55/e4/fe/df/0597a255236826aa38abefdafdc73adeed017242ebf759c9a4f08845-w_1313-h_2500-l_241440-t_image/png.png	(from https://www.ewedinvite.site/MAUHOADOBE)
